CODIGO_PROYECTO,TIPO_CUENTA,FECHA,AÑO,MES,CREDITO,DEBITO,TOTAL,MARGEN
P-1693,INGRESO,2023-04-01,2023.0,4.0,0,0,0,0.0
P-1693,COSTO MATERIALES,2023-04-01,2023.0,4.0,0,0,0,0.0
P-1693,COSTO MANO DE OBRA,2023-04-01,2023.0,4.0,0,0,0,0.0
P-1693,COSTO SUPERVISIÓN,2023-04-01,2023.0,4.0,0,0,0,0.0
P-1693,INGRESO,2023-01-01,2023.0,1.0,0,0,0,0.0
P-1693,COSTO MATERIALES,2023-01-01,2023.0,1.0,0,0,0,0.0
P-1693,COSTO MANO DE OBRA,2023-01-01,2023.0,1.0,0,0,0,0.0
P-1693,COSTO SUPERVISIÓN,2023-01-01,2023.0,1.0,0,0,0,0.0
P-1693,INGRESO,2023-02-01,2023.0,2.0,0,0,0,0.0
P-1693,COSTO MATERIALES,2023-02-01,2023.0,2.0,0,0,0,0.0
P-1693,COSTO MANO DE OBRA,2023-02-01,2023.0,2.0,0,0,0,0.0
P-1693,COSTO SUPERVISIÓN,2023-02-01,2023.0,2.0,0,0,0,0.0
P-1693,INGRESO,2023-03-01,2023.0,3.0,0,0,0,0.0
P-1693,COSTO MATERIALES,2023-03-01,2023.0,3.0,0,0,0,0.0
P-1693,COSTO MANO DE OBRA,2023-03-01,2023.0,3.0,0,0,0,0.0
P-1693,COSTO SUPERVISIÓN,2023-03-01,2023.0,3.0,0,0,0,0.0
P-1693,INGRESO,2023-05-01,2023.0,5.0,0,0,0,0.0
P-1693,COSTO MATERIALES,2023-05-01,2023.0,5.0,0,0,0,0.0
P-1693,COSTO MANO DE OBRA,2023-05-01,2023.0,5.0,0,0,0,0.0
P-1693,COSTO SUPERVISIÓN,2023-05-01,2023.0,5.0,0,0,0,0.0
P-1693,INGRESO,2023-06-01,2023.0,6.0,0,0,0,0.0
P-1693,COSTO MATERIALES,2023-06-01,2023.0,6.0,0,0,0,0.0
P-1693,COSTO MANO DE OBRA,2023-06-01,2023.0,6.0,0,0,0,0.0
P-1693,COSTO SUPERVISIÓN,2023-06-01,2023.0,6.0,0,0,0,0.0
P-1694,INGRESO,2023-04-01,2023.0,4.0,0,0,0,0.0
P-1694,COSTO MATERIALES,2023-04-01,2023.0,4.0,0,0,0,0.0
P-1694,COSTO MANO DE OBRA,2023-04-01,2023.0,4.0,0,0,0,0.0
P-1694,COSTO SUPERVISIÓN,2023-04-01,2023.0,4.0,0,0,0,0.0
P-1694,INGRESO,2023-01-01,2023.0,1.0,0,0,0,0.0
P-1694,COSTO MATERIALES,2023-01-01,2023.0,1.0,0,0,0,0.0
P-1694,COSTO MANO DE OBRA,2023-01-01,2023.0,1.0,0,0,0,0.0
P-1694,COSTO SUPERVISIÓN,2023-01-01,2023.0,1.0,0,0,0,0.0
P-1694,INGRESO,2023-02-01,2023.0,2.0,0,0,0,0.0
P-1694,COSTO MATERIALES,2023-02-01,2023.0,2.0,0,0,0,0.0
P-1694,COSTO MANO DE OBRA,2023-02-01,2023.0,2.0,0,0,0,0.0
P-1694,COSTO SUPERVISIÓN,2023-02-01,2023.0,2.0,0,0,0,0.0
P-1694,INGRESO,2023-03-01,2023.0,3.0,0,0,0,0.0
P-1694,COSTO MATERIALES,2023-03-01,2023.0,3.0,0,0,0,0.0
P-1694,COSTO MANO DE OBRA,2023-03-01,2023.0,3.0,0,0,0,0.0
P-1694,COSTO SUPERVISIÓN,2023-03-01,2023.0,3.0,0,0,0,0.0
P-1694,INGRESO,2023-05-01,2023.0,5.0,0,0,0,0.0
P-1694,COSTO MATERIALES,2023-05-01,2023.0,5.0,0,0,0,0.0
P-1694,COSTO MANO DE OBRA,2023-05-01,2023.0,5.0,0,0,0,0.0
P-1694,COSTO SUPERVISIÓN,2023-05-01,2023.0,5.0,0,0,0,0.0
P-1694,INGRESO,2023-06-01,2023.0,6.0,0,0,0,0.0
P-1694,COSTO MATERIALES,2023-06-01,2023.0,6.0,0,0,0,0.0
P-1694,COSTO MANO DE OBRA,2023-06-01,2023.0,6.0,0,0,0,0.0
P-1694,COSTO SUPERVISIÓN,2023-06-01,2023.0,6.0,0,0,0,0.0
P-1695,INGRESO,2023-04-01,2023.0,4.0,0,0,0,0.0
P-1695,COSTO MATERIALES,2023-04-01,2023.0,4.0,0,0,0,0.0
P-1695,COSTO MANO DE OBRA,2023-04-01,2023.0,4.0,0,0,0,0.0
P-1695,COSTO SUPERVISIÓN,2023-04-01,2023.0,4.0,0,0,0,0.0
P-1695,INGRESO,2023-01-01,2023.0,1.0,0,0,0,0.0
P-1695,COSTO MATERIALES,2023-01-01,2023.0,1.0,0,0,0,0.0
P-1695,COSTO MANO DE OBRA,2023-01-01,2023.0,1.0,0,0,0,0.0
P-1695,COSTO SUPERVISIÓN,2023-01-01,2023.0,1.0,0,0,0,0.0
P-1695,INGRESO,2023-02-01,2023.0,2.0,0,0,0,0.0
P-1695,COSTO MATERIALES,2023-02-01,2023.0,2.0,0,0,0,0.0
P-1695,COSTO MANO DE OBRA,2023-02-01,2023.0,2.0,0,0,0,0.0
P-1695,COSTO SUPERVISIÓN,2023-02-01,2023.0,2.0,0,0,0,0.0
P-1695,INGRESO,2023-03-01,2023.0,3.0,0,0,0,0.0
P-1695,COSTO MATERIALES,2023-03-01,2023.0,3.0,0,0,0,0.0
P-1695,COSTO MANO DE OBRA,2023-03-01,2023.0,3.0,0,0,0,0.0
P-1695,COSTO SUPERVISIÓN,2023-03-01,2023.0,3.0,0,0,0,0.0
P-1695,INGRESO,2023-05-01,2023.0,5.0,0,0,0,0.0
P-1695,COSTO MATERIALES,2023-05-01,2023.0,5.0,0,0,0,0.0
P-1695,COSTO MANO DE OBRA,2023-05-01,2023.0,5.0,0,0,0,0.0
P-1695,COSTO SUPERVISIÓN,2023-05-01,2023.0,5.0,0,0,0,0.0
P-1695,INGRESO,2023-06-01,2023.0,6.0,0,0,0,0.0
P-1695,COSTO MATERIALES,2023-06-01,2023.0,6.0,0,0,0,0.0
P-1695,COSTO MANO DE OBRA,2023-06-01,2023.0,6.0,0,0,0,0.0
P-1695,COSTO SUPERVISIÓN,2023-06-01,2023.0,6.0,0,0,0,0.0
P-1696,INGRESO,2023-04-01,2023.0,4.0,0,0,0,0.0
P-1696,COSTO MATERIALES,2023-04-01,2023.0,4.0,0,0,0,0.0
P-1696,COSTO MANO DE OBRA,2023-04-01,2023.0,4.0,0,0,0,0.0
