CODIGO_PROYECTO,NOMBRE_OBRA,NOMBRE_CLIENTE
S-1601,Oficinas Cuatrecasas,3G OFFICE LATAM CHILE ARQUITECTURA SPA
P-1552,CDMK2,Desarrollos y Bodegas SpA
P-1516,Iglesia Universal,Construcciones IDC  LTDA.
P-1725,Lo Cañas,Constructora Brisas de Batuco
P-1659,Anasac,Anasac ambiental S.A.
P-1492,Integramedica Bandera,Jose Fernando Canales Lamar E.I.R.L
P-1656,Mirador Club Hípico,Constructora Vital Edificacion SPA
P-1569,Hotel Kennedy,Sociedad Operadora Hotelera HA S.A
P-1000,Prueba,TECNOSEC S.A
P-1655,Decathlon Pajaritos,DECATHLON CHILE S.p.A
P-1606,Vargas Buston,EBCO S.A.
P-1633,Lo Vial,EBCO S.A.
P-1634,Novofarma,EBCO S.A.
P-1650,Marathon,EBCO S.A.
P-1709,Centro Comercial Paseo San Pedro,EBCO S.A.
P-1712,Centro Comercial Viña Outlet Park,EBCO S.A.
P-1718,Patio Comidas,EBCO S.A.
P-1719,CD METALPAR,EBCO S.A.
P-1683,CD BP-A05,EBCO S.A.
P-1689,Casino Buenaventura,EBCO S.A.
P-1692,José Perez Cotapos,EBCO S.A.
P-1698,CD Andes,EBCO S.A.
P-1700,CD Orizon,EBCO S.A.
P-1612,Barrio Parque Santiago 7,CONSTRUCTORA ALTURAS DEL SUR S.A
P-1671,Barrio Parque Stgo 8-9,CONSTRUCTORA ALTURAS DEL SUR S.A
P-1596,Toxicos y corrosivos,Inmobiliaria y Rentas Logística S.A.
P-1647,Bodega Corrosivos TW,Inmobiliaria y Rentas Logística S.A.
P-1648,Etapa 2 CD Peralillo TW,Inmobiliaria y Rentas Logística S.A.
P-1665,TW Cambio Racks Inflamables 1 y 2,Inmobiliaria y Rentas Logística S.A.
P-1662,Colegio Trawhela,CONSTRUCTORA MYA SpA.
P-1675,Palena II,CONSTRUCTORA MYA SpA.
P-1615,Eco Santiago,Constructora ICF SPA
P-1667,Eco Placilla,Constructora ICF SPA
P-1694,Eco Huemul,Constructora ICF SPA
P-1708,Eco España,Constructora ICF SPA
P-1717,Eco Quilín I,Constructora ICF SPA
P-1722,Eco Cerrillos,Constructora ICF SPA
P-1702,Karun,CONSTRUCTORA UNION SpA.
P-1521,Edificio Almirante Latorre,Constructora Santolaya Ltda.
P-1526,El Descanso,Constructora Santolaya Ltda.
P-1571,Ecuador II,Constructora Santolaya Ltda.
P-1582,Villanueva,Constructora Santolaya Ltda.
P-1605,Juan de Pineda,Constructora Santolaya Ltda.
P-1609,Sazie Carrera,Constructora Santolaya Ltda.
P-1625,Green Concept Sazie,Constructora Santolaya Ltda.
P-1637,Pucará II,Constructora Santolaya Ltda.
P-1707,Las Tranqueras,Constructora Santolaya Ltda.
P-1537,Barrio Parque Santiago,Millenium Construcciones SPA.
P-1562,Barrio Parque Santiago Torre 6,Millenium Construcciones SPA.
P-1368,Capual Habitacional Interior,CONSTRUCTORA DE VICENTE S.A
P-854,Capual Republica,CONSTRUCTORA DE VICENTE S.A
P-844,Edificio Holanda 100,OROLEC S.A
P-1664,MK II PCI,Comercial K SpA.
P-1670,MK II Seguridad y Redes,Comercial K SpA.
P-1721,Strip Center Luis Pasteur,Inmobiliaria Luis Pasteur S.A.
P-1510,Inacap III Casas Históricas,Constructora Pesra Ltda.
P-1693,Volta V0800,ECOBIO SPA
P-1491,San Nicolas,Constructora Altri Ltda.
P-1509,Charles Hamilton,Constructora Altri Ltda.
P-1714,Departamental II,Constructora Fuerza Sur Dos Spa
P-1640,Inacap Copiapo. Remodelacion,CONSTRUCTORA IZQUIERDO SPA.
P-1600,Edificio Terranova,Sociedad Constructora Echavarri Hermanos Limitada
P-1645,Los tres Antonios,Sociedad Constructora Echavarri Hermanos Limitada
P-1502,Jardin del Alto,Constructora Centauro Limitada.
P-1519,Vicuna Mackenna Central,Constructora Centauro Limitada.
P-1538,Jardin del Alto,Constructora Centauro Limitada.
P-712,Edificio Catedral III,DANACORP S.A
P-1661,San Vicente de Paul,DANACORP S.A
P-1703,Santa Victoria Danacorp,DANACORP S.A
P-1498,Santo Domingo III,DANACORP S.A
P-1514,Chile España,DANACORP S.A
P-1529,Santo Domingo1470,DANACORP S.A
P-1546,La Marina,DANACORP S.A
P-1576,Santo Domingo 1450,DANACORP S.A
P-1636,Santo Domingo 1410,DANACORP S.A
P-1480,Llico Danacorp,DANACORP S.A
P-1701,Edificio Zenteno,CONSTRUCTORA GREVIA SpA.
P-1635,Exequiel Fernandez 1455,Ingeniería y Construcción Errebe Ltda.
P-1657,Planta Interbake,Interbake Chile SPA
P-1595,Hogares,Empresa Constructora Vascro SPA
P-1618,Gym Pichilemu,Empresa Constructora Vascro SPA
P-1651,Planta Cordillera,TECNOLOGIAS GRÁFICAS CORDILLERA S.A.
P-1366,Edif.Padre Mariano,CONSTRUCTORA ARMAS LTDA
P-1499,Mariategui,CONSTRUCTORA ARMAS LTDA
P-1506,Walker Martinez,CONSTRUCTORA ARMAS LTDA
P-1515,Pio X,CONSTRUCTORA ARMAS LTDA
P-1583,San Ignacio,CONSTRUCTORA ARMAS LTDA
P-544,Edif. Corporativo Armas Cabild,CONSTRUCTORA ARMAS LTDA
P-666,Edificio Jardines de Infante,CONSTRUCTORA ARMAS LTDA
P-776,Manquehue Sur 1220,CONSTRUCTORA ARMAS LTDA
P-1658,VIVIPRA,Vicherat y Pradenas Ltda.
P-1549,Teniente Montt,Inmobiliaria y Constructora Hogares S.A.
P-1631,Edificio Plaza Bilbao,CONSTRUCTORA E INVERSIONES VITAL SPA.
P-1653,Eduardo de la Barra,CONSTRUCTORA E INVERSIONES VITAL SPA.
P-1706,California,CONSTRUCTORA E INVERSIONES VITAL SPA.
P-1523,El Tranque,CONSTRUCTORA SANTA TERESA LTDA.
P-1547,El Tranque II,CONSTRUCTORA SANTA TERESA LTDA.
P-1585,La Llavería,CONSTRUCTORA SANTA TERESA LTDA.
P-1604,CHC Roca,Comercial Hispano Chilena Ltda.
P-1193,Inacap Etapa II,Desarrollos Constructivos Axis Sociedad Anonima
P-1508,Inacap Rancagua,Desarrollos Constructivos Axis Sociedad Anonima
P-1599,Inacap Copiapó,Desarrollos Constructivos Axis Sociedad Anonima
P-1622,Inacap Arica,Desarrollos Constructivos Axis Sociedad Anonima
P-1641,Inacap Temuco,Desarrollos Constructivos Axis Sociedad Anonima
P-1630,Inacap San Pedro,Claro Vicuña Valenzuela S.A.
P-1685,Mapa Edificios No Operacionales,Claro Vicuña Valenzuela S.A.
P-1489,Polideportivo Estación Central,Larrain Prieto Risopatron S.A.
P-1660,Coronel Alvarado,Larrain Prieto Risopatron S.A.
P-1500,Zofri Etapa VII,EMPRESA CONSTRUCTORA BRAVO E IZQUIERDO
P-1517,Estacionamientos Pedro de Valdivia,EMPRESA CONSTRUCTORA BRAVO E IZQUIERDO
P-507,Biblioteca UDP,EMPRESA CONSTRUCTORA BRAVO E IZQUIERDO
P-697,Aiep Grajales,EMPRESA CONSTRUCTORA BRAVO E IZQUIERDO
P-1695,Edificio Estoril,EMPRESA CONSTRUCTORA BRAVO E IZQUIERDO
P-1504,Planta Asmar,EMELTA S.A.
P-767,Bicenenario 4017, Constructora Almagro S.A
P-1367,Bustamante Torre B,Constructora Novatec S.A
P-1501,Marin II B,Constructora Novatec S.A
P-1594,Laguna Santiago,Constructora Novatec S.A
P-1646,Jardines del Valle,Constructora Novatec S.A
P-1624,Fachada Oriente PUC,Rodríguez y Rodríguez Construcciones Ltda.
P-1535,Amapolas,Empresa Constructora DLP S.A.
P-1603,Farellones,Empresa Constructora DLP S.A.
P-1699,Villa Panamericana Lote B,Empresa Constructora DLP S.A.
P-1493,Homy Plaza Vespucio,Empresa Constructora Desco S.A.
P-1442,Edificio La Calesa,MOLLER Y PEREZ COTAPOS ING Y CONST LTDA
P-1488,San Damian,MOLLER Y PEREZ COTAPOS ING Y CONST LTDA
P-1616,Simon Bolivar 2424,MOLLER Y PEREZ COTAPOS ING Y CONST LTDA
P-496,Edificio El Ciprés,MOLLER Y PEREZ COTAPOS ING Y CONST LTDA
P-756,Instituto Goethe,CONSTRUCTORA RALUN LTDA
P-1533,FLSmidth Renca,FLSMIDTH S.A
P-1374,Edif. Pedro Gamboa,EMPRESA CONSTRUCTORA INGEVEC S.A.
P-1686,Macul Icalma,EMPRESA CONSTRUCTORA INGEVEC S.A.
P-998,Inacap Los Angeles,EMPRESA CONSTRUCTORA INGEVEC S.A.
P-1680,Nueva Uno,Constructora Tecsa S.A.
