Part_Number,Descripcion,Categoria,Familia,Costo_Promedio,Ultimo_x0020_Costo,Fecha_Ultima_Compra
T14392804,Fuente 220VAC/12VDC 12.5A Switching,T14,39,13132,13132,2021-10-22T00:00:00-03:00
T14392905,Tablero de Faena 380/220v PVC,T14,39,182186,182185.71,2022-12-14T00:00:00-03:00
T14392907,Fuente de poder Hochiki FX600,T14,39,0,,
T14393001,FUENTE DE PODER 12/24 VAC /60VA 1195 COMELIT,T14,39,24540,24540,2023-03-07T00:00:00-03:00
T14393117,"TRANSFORMADOR 1595 INPUT 120-230V 0,8A OUTPUT 30711 COMELIT",T14,39,39530,39530,2023-04-18T00:00:00-03:00
T14393118,TRANSFORMADOR 12VAC C/ENTRADA DE 230VAC 11200/Y 30713 COMELIT,T14,39,23700,23700,2023-03-07T00:00:00-03:00
T14393126,Gabinete para anunciador remoto para Simplex 4007 2975-9206,T14,39,58782,58782,2023-06-01T00:00:00-04:00
T14393127,Gabinete para anunciador remoto para Simplex 4010 2975-9202,T14,39,91581,91581,2023-03-15T00:00:00-03:00
T14393265,Cargador Acer 19V 2.37A 5.5x1.7mm,T14,39,0,,
T14393366,CARGADOR BATERIA 6/12/24V 5A PLUS,T14,39,0,,
T14393370,KIT FUENTE CARGADOR GABINETE 12V-3A,T14,39,0,,
T14400202,Relay 220 Volt,T14,40,5848,5848,2013-05-06T00:00:00-04:00
T14400271,Spray prueba detector de humo,T14,40,18250,18250,2023-06-09T00:00:00-04:00
T14400287,Tarugo plastico 6 mm,T14,40,10,10.08,2023-05-15T00:00:00-04:00
T14400646,Relay (rele) 12 Volt,T14,40,450,446.2185,2023-06-09T00:00:00-04:00
T14400818,Conector DB15 soldar con tapa,T14,40,840,840,2018-06-18T00:00:00-04:00
